participant_id,sex,age
sub-OAS30002,M,68.22
sub-OAS30003,F,60.3
sub-OAS30004,F,58.11
sub-OAS30005,F,48.42
sub-OAS30006,M,62.54
sub-OAS30008,F,52.47
sub-OAS30009,F,49.24
sub-OAS30010,F,68.58
sub-OAS30011,F,78.61
sub-OAS30012,M,87.48
sub-OAS30018,M,71.21
sub-OAS30020,F,52.04
sub-OAS30025,F,65.39
sub-OAS30026,M,80.51
sub-OAS30028,M,68.12
sub-OAS30033,F,79.75
sub-OAS30036,F,66.41
sub-OAS30037,F,59.21
sub-OAS30038,F,60.84
sub-OAS30039,F,73.5
sub-OAS30044,F,63.07
sub-OAS30048,F,62.81
sub-OAS30049,M,73.31
sub-OAS30050,F,70.18
sub-OAS30052,F,60.92
sub-OAS30059,F,49.41
sub-OAS30062,F,51.61
sub-OAS30065,M,71.67
sub-OAS30071,M,72.51
sub-OAS30073,M,61.29
sub-OAS30075,F,80.9
sub-OAS30079,F,45.92
sub-OAS30080,F,62.98
sub-OAS30084,M,77.12
sub-OAS30090,M,53.05
sub-OAS30092,F,60.01
sub-OAS30093,F,59.73
sub-OAS30096,F,67.47
sub-OAS30101,F,74.84
sub-OAS30102,F,65.09
sub-OAS30103,F,65.56
sub-OAS30105,F,69.73
sub-OAS30106,F,68.53
sub-OAS30107,F,68.12
sub-OAS30108,F,65.26
sub-OAS30109,F,73.01
sub-OAS30112,M,53.73
sub-OAS30113,M,55.59
sub-OAS30115,F,68.93
sub-OAS30118,M,82.87
sub-OAS30126,F,59.52
sub-OAS30127,M,65.76
sub-OAS30129,M,71.63
sub-OAS30131,M,49.74
sub-OAS30134,M,70.9
sub-OAS30137,F,68.33
sub-OAS30143,F,65.05
sub-OAS30146,F,69.19
sub-OAS30155,F,71.65
sub-OAS30157,F,68.24
sub-OAS30160,F,71.0
sub-OAS30168,F,61.5
sub-OAS30175,F,73.8
sub-OAS30182,M,56.84
sub-OAS30184,F,73.54
sub-OAS30187,M,69.68
sub-OAS30188,F,45.89
sub-OAS30189,F,68.27
sub-OAS30191,F,64.75
sub-OAS30193,M,74.55
sub-OAS30195,M,67.11
sub-OAS30204,M,69.15
sub-OAS30208,F,76.66
sub-OAS30211,M,46.04
sub-OAS30216,F,64.15
sub-OAS30219,F,59.03
sub-OAS30220,M,64.34
sub-OAS30221,F,60.07
sub-OAS30223,F,81.98
sub-OAS30228,M,64.02
sub-OAS30232,F,66.0
sub-OAS30233,F,66.22
sub-OAS30234,F,82.7
sub-OAS30235,M,57.8
sub-OAS30240,F,65.28
sub-OAS30241,F,48.07
sub-OAS30242,F,65.08
sub-OAS30245,F,62.71
sub-OAS30246,F,73.52
sub-OAS30247,F,75.41
sub-OAS30248,M,68.71
sub-OAS30249,M,51.04
sub-OAS30251,F,65.33
sub-OAS30258,M,85.37
sub-OAS30259,F,65.11
sub-OAS30272,F,65.86
sub-OAS30275,F,65.81
sub-OAS30278,F,46.34
sub-OAS30280,M,72.37
sub-OAS30283,F,74.05
sub-OAS30284,F,54.78
sub-OAS30288,M,53.22
sub-OAS30291,F,66.52
sub-OAS30293,F,56.84
sub-OAS30295,F,84.47
sub-OAS30297,F,49.35
sub-OAS30302,F,86.03
sub-OAS30303,F,60.67
sub-OAS30304,M,68.76
sub-OAS30306,M,72.43
sub-OAS30307,M,77.44
sub-OAS30308,F,55.78
sub-OAS30314,F,74.03
sub-OAS30320,M,69.15
sub-OAS30321,F,65.92
sub-OAS30324,F,60.38
sub-OAS30328,M,72.84
sub-OAS30333,M,70.37
sub-OAS30335,F,66.71
sub-OAS30343,F,74.25
sub-OAS30346,F,72.38
sub-OAS30349,M,75.58
sub-OAS30350,F,80.16
sub-OAS30351,F,73.61
sub-OAS30353,F,60.06
sub-OAS30357,M,74.87
sub-OAS30361,F,78.72
sub-OAS30363,F,71.29
sub-OAS30365,F,73.83
sub-OAS30367,F,58.07
sub-OAS30368,M,56.54
sub-OAS30369,F,72.13
sub-OAS30371,M,67.15
sub-OAS30372,F,63.85
sub-OAS30375,M,66.28
sub-OAS30379,M,86.55
sub-OAS30382,M,72.23
sub-OAS30390,M,51.54
sub-OAS30392,F,74.43
sub-OAS30393,F,80.53
sub-OAS30395,F,53.25
sub-OAS30402,F,67.78
sub-OAS30405,F,70.78
sub-OAS30407,F,75.85
sub-OAS30413,F,64.43
sub-OAS30414,M,73.23
sub-OAS30417,F,69.92
sub-OAS30419,F,49.06
sub-OAS30420,F,92.97
sub-OAS30422,M,76.45
