,All,M,F
MSE,11.338748920802999,8.229302541580326,13.31634677942081
MAE,2.17494021789186,2.024786836547716,2.2704372836700566
SD MAE,2.570677725697935,2.032127163374236,2.856827142187946
mean res,0.40533567752777505,0.5266099599309645,0.3282056254424536
"PCC(pred,target)",0.5793233878159889,0.6097726959070828,0.5657789659412398
"p(pred,target)",4.841804502713606e-182,2.0620784664637801e-81,9.27322291030759e-106
R2,0.3222721123021849,0.3350137519634788,0.31352006184036874
"PCC(age,res)",-0.08432223299666272,-0.08487583829206842,-0.08506185271994887
"p(age,res)",0.00014422819549465783,0.01716764675322271,0.00273063308238676
"PCC(target,res)",0.07262994206890436,0.1496974405568996,0.03894339335029558
"p(target,res)",0.001066890929035709,2.450254840838389e-05,0.1707114425466489
Mann-Whitney (H0=same),509643.0,0.09453561962793007,
"Mean pace (>=1,>=3,>=5)",0.8870284199003191,0.874605268585525,0.90825405578237
"SD pace (>=1,>=3,>=5)",1.7580185355555937,0.8529131767457269,0.5433847566042498
"PCC(pace,target), >= 1y",0.008487319442264914,,
"p(pace,target), >= 1y",0.8375555212555454,,
Mean adj residuals,0.1088886175743758,,
SD adj residuals,1.135964877344017,,
"r(adj_res,age), >= 1y",-0.05760411680023395,,
p,0.6125725906698114,,
"r(adj_res,target), >= 1y",-0.011762141075383092,,
