train_loss,train_mae,val_loss,val_mae,effective_epochs
9.184967864805193,2.0115543497142507,,,0.7267002518891688
5.113953860838022,1.4652042913792738,4.644752784779198,1.6991858796069497,0.6649874055415617
4.465898086775595,1.3507822538489727,5.0909068458958675,1.792866029237446,0.6498740554156172
4.349267030829814,1.3066526446769486,4.170071106207998,1.5796753042622615,0.628463476070529
3.6355717342291305,1.1611078719594585,4.276743405743649,1.622165018006375,0.5963476070528967
3.3919910103527466,1.11690732080545,3.8958547930968437,1.5398907410471063,0.5743073047858942
3.1038473284066614,1.0443254949441596,4.606196779953806,1.7049470198781866,0.5497481108312342
2.897649784586323,0.9990170340039837,2.577224866340035,1.2168238664928235,0.533375314861461
2.8864581282459087,1.021779226723002,3.4566799339495207,1.4465072374594838,0.5428211586901763
2.7545849476287616,0.9516443841492952,2.2720446367012825,1.140097200870514,0.5050377833753149
2.4908749594617245,0.9210282848842108,2.6928331538250574,1.269455047030198,0.5188916876574308
2.4321448322552355,0.8905115910430452,2.490091599916157,1.1980763799265812,0.48488664987405544
2.3855969407665194,0.8493877186704037,2.5594632186387716,1.2214569010232623,0.46977329974811083
2.2754404188981696,0.8622577030267289,2.438678650479568,1.2015225950040316,0.482367758186398
2.0989011330391043,0.8184018846768052,2.3026742119538155,1.171070164755771,0.46851385390428213
2.154161045800394,0.7964903694480213,2.351960633930407,1.1779291535678662,0.4376574307304786
2.0344953270100836,0.7850458039276635,2.094638855833756,1.110944666360554,0.4345088161209068
1.9669764326579535,0.745296905289835,1.9720983442507292,1.0775618835499412,0.41246851385390426
1.8946188777240354,0.7349230807218978,2.014860517100284,1.0684002198671039,0.40428211586901763
0.8429094401758108,0.7296625811662247,2.0220649540424347,1.0596625193169242,1.0
